season,beta,kappa,seed,start_month,moore,suit_thresh,latency_period,a_s,a_l,a_ld,cluster
2,2,1000,0,4,2,0,3,400,50,150,295
2,2,500,0,4,3,0,3,150,25,25,356
2,1,1000,0,5,2,0,3,600,0,600,178
2,1,1000,0,5,3,0,3,25,75,100,237
2,2,500,0,5,3,0,3,600,0,200,224
2,2,500,0,5,2,0,3,200,200,600,160
2,2,500,0,4,3,0,2,300,0,0,116
2,2,1000,0,5,3,0,3,50,75,100,234
2,0,500,0,3,2,0,1,150,0,0,17
1,2,500,1,4,2,0,2,20,25,0,67
2,1,500,0,4,3,0,3,600,0,400,370
2,2,500,1,5,2,0,2,400,200,0,55
2,1,500,0,5,3,0,3,50,75,75,244
